price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,tvl,last_updated
540971.3376980552,395314833076.0982,-10.6828,-0.52977809,1.33307198,-7.60318006,-17.02224524,-9.6107706,-14.50277169,10790239186406.943,59.1963,11360398091659.176,,2025-11-08T14:20:02.000Z
541475.8279689014,395427498065.3729,-9.9163,-0.53667327,1.46873503,-7.50207641,-16.6716106,-9.50927071,-14.46270609,10800301772555.793,59.2515,11370992387346.934,,2025-11-08T14:23:00.000Z
541821.6176949329,395671024367.59326,-9.8302,-0.46753386,1.53651912,-7.46369112,-16.55616358,-9.44244451,-14.40425457,10807198910337.543,59.343,11378253971593.6,,2025-11-08T14:23:00.000Z
541821.6176949329,395671024367.59326,-9.8302,-0.46753386,1.53651912,-7.46369112,-16.55616358,-9.44244451,-14.40425457,10807198910337.543,59.343,11378253971593.6,,2025-11-08T14:23:00.000Z
541821.6176949329,395671024367.59326,-9.8302,-0.46753386,1.53651912,-7.46369112,-16.55616358,-9.44244451,-14.40425457,10807198910337.543,59.343,11378253971593.6,,2025-11-08T14:23:00.000Z
